codigo_linha,LetreiroCompleto,DescricaoCompleto,Sentido,TipoLinhaDescricao,LinhaCircular,latitude,longitude,acessivel,periodo_do_dia,dia_semana,hr_atualizacao,data_ingestao
172X-10,172X-10,172X-10 - METRÔ TATUAPÉ,Ida,Radial,Nao,-23.507433125,-46.567815374999995,Sim,Noite,Quarta,2025-12-03T23:29:51.000Z,2025-12-03T23:38:49.658Z
172X-10,172X-10,172X-10 - PQ. NOVO MUNDO,Volta,Radial,Nao,-23.5190355,-46.558278,Sim,Noite,Quarta,2025-12-03T23:29:54.000Z,2025-12-03T23:38:49.658Z
1730-10,1730-10,1730-10 - CENTER NORTE,Volta,Radial,Nao,-23.5115855,-46.6220665,Sim,Noite,Quarta,2025-12-03T23:21:55.000Z,2025-12-03T23:38:49.658Z
1730-10,1730-10,1730-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.515809499999996,-46.6162245,Sim,Noite,Quarta,2025-12-03T23:29:47.000Z,2025-12-03T23:38:49.658Z
1738-10,1738-10,1738-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.4789955,-46.5871845,Sim,Noite,Quarta,2025-12-03T23:29:40.000Z,2025-12-03T23:38:49.658Z
1738-10,1738-10,1738-10 - VL. CONSTANÇA,Volta,Radial,Nao,-23.4735475,-46.581099,Sim,Noite,Quarta,2025-12-03T23:29:50.000Z,2025-12-03T23:38:49.658Z
1741-10,1741-10,1741-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.499912000000002,-46.632252375,Sim,Noite,Quarta,2025-12-03T23:29:23.000Z,2025-12-03T23:38:49.658Z
1741-10,1741-10,1741-10 - VL. DIONISIA,Volta,Radial,Nao,-23.502871,-46.624226,Sim,Noite,Quarta,2025-12-03T23:29:52.000Z,2025-12-03T23:38:49.658Z
1742-10,1742-10,1742-10 - JD. ANTÁRTICA,Volta,Radial,Nao,-23.457126,-46.65923775,Sim,Noite,Quarta,2025-12-03T23:29:46.000Z,2025-12-03T23:38:49.658Z
1742-10,1742-10,1742-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.5032745,-46.626395,Sim,Noite,Quarta,2025-12-03T23:29:49.000Z,2025-12-03T23:38:49.658Z
1744-10,1744-10,1744-10 - LAUZANE PAULISTA,Volta,Radial,Nao,-23.471887,-46.644495,Sim,Noite,Quarta,2025-12-03T23:29:52.000Z,2025-12-03T23:38:49.658Z
1744-10,1744-10,1744-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.4979755,-46.627562,Sim,Noite,Quarta,2025-12-03T23:29:49.000Z,2025-12-03T23:38:49.658Z
1745-10,1745-10,1745-10 - SHOP. CENTER NORTE,Ida,Radial,Nao,-23.506689124999998,-46.624998625,Sim,Noite,Quarta,2025-12-03T23:29:46.000Z,2025-12-03T23:38:49.658Z
